v_p	A_p	v_s	A_s	νk	ipda	νk	isda
2134.92085	0.00225224504989658	2134.92085	0.004128910402271271	2128.57	0.004931622625349983	2128.57	0.006244523186960186
2134.95098	0.0023519637615202482	2134.95098	0.004298046081785634	2128.59	0.0057999986731518075	2128.59	0.007213411039668932
2134.98112	0.002451682379785672	2134.98112	0.004467181474436269	2128.61	0.006718127779665036	2128.61	0.008212597721608483
2135.01125	0.002536401091409346	2135.01125	0.004616317153950625	2128.63	0.007700168442501109	2128.63	0.009270440595007229
2135.04138	0.002611119803033017	2135.04138	0.004750452833464994	2128.65	0.008765638844524054	2128.65	0.01042365076926558
2135.07152	0.0026708384212984423	2135.07152	0.004854588226115605	2128.67	0.009933077308595306	2128.67	0.011705712918454701
2135.10165	0.0027205571329221093	2135.10165	0.004943723905629985	2128.69	0.011213704404947091	2128.69	0.013135902110403733
2135.13179	0.002760275751187549	2135.13179	0.005017859298280622	2128.71	0.012607069392606437	2128.71	0.014712595544376386
2135.16192	0.002804994462811211	2135.16192	0.005086994977794981	2128.73	0.014099902022397892	2128.73	0.01641300014655506
2135.19205	0.002844713174434875	2135.19205	0.005156130657309355	2128.75	0.015668312278287203	2128.75	0.018199130452701478
2135.22219	0.002884431792700315	2135.22219	0.005220266049959968	2128.77	0.017282413908367423	2128.77	0.020027667495435962
2135.25232	0.0029141505043239757	2135.25232	0.005279401729474331	2128.79	0.01891164832661575	2128.79	0.02185991155030025
2135.28246	0.0029288691225894045	2135.28246	0.005318537122124975	2128.81	0.020528803783116552	2128.81	0.02366793253028911
2135.31259	0.002928587834213077	2135.31259	0.005342672801639331	2128.83	0.022111204110632252	2128.83	0.025434457749632013
2135.34272	0.0029133065458367413	2135.34272	0.0053518084811537	2128.85	0.023638823517654995	2128.85	0.027146739987019244
2135.37286	0.002898025164102168	2135.37286	0.005365943873804319	2128.87	0.025090755843212662	2128.87	0.028787646316525882
2135.40299	0.002887743875725844	2135.40299	0.005385079553318697	2128.89	0.026442668974410895	2128.89	0.030329034996037094
2135.43312	0.0028874625873495097	2135.43312	0.005424215232833068	2128.91	0.027667746372203324	2128.91	0.03173191071163808
2135.46326	0.0029071812056149365	2135.46326	0.005483350625483677	2128.93	0.02874194764505567	2128.93	0.03295475888406457
2135.49339	0.002931899917238606	2135.49339	0.005557486304998055	2128.95	0.029651986127431626	2128.95	0.033967245923227474
2135.52353	0.002961618535504043	2135.52353	0.005631621697648678	2128.97	0.03040262674757745	2128.97	0.0347634060487863
2135.55366	0.002986337247127699	2135.55366	0.005705757377163043	2128.99	0.031019879694629122	2128.99	0.03536831778994209
2135.58379	0.0030110559587513755	2135.58379	0.005769893056677411	2129.01	0.03154846014202954	2129.01	0.035835237922425434
2135.61393	0.0030307745770168093	2135.61393	0.005829028449328033	2129.03	0.03204442228929839	2129.03	0.03623452638088277
2135.64406	0.003060493288640477	2135.64406	0.005903164128842411	2129.05	0.032565687109625326	2129.05	0.03663903293299284
2135.6742	0.003105211906905901	2135.6742	0.006002299521493032	2129.07	0.033163394234246746	2129.07	0.03711128256864292
2135.70433	0.003169930618529576	2135.70433	0.006126435201007405	2129.09	0.03387583517292974	2129.09	0.03769585898815956
2135.73446	0.0032546493301532364	2135.73446	0.006275570880521775	2129.11	0.034725155922006104	2129.11	0.038417346711417416
2135.7646	0.003349367948418669	2135.7646	0.006439706273172391	2129.13	0.035716023824725295	2129.13	0.03928184721496097
2135.79473	0.003444086660042339	2135.79473	0.006598841952686757	2129.15	0.03683538262774638	2129.15	0.04027942073848394
2135.82486	0.0035288053716660064	2135.82486	0.006747977632201113	2129.17	0.03805296687738183	2129.17	0.041385672636179635
2135.855	0.0035985239899314347	2135.855	0.00687711302485175	2129.19	0.03932288127973059	2129.19	0.04256226887084619
2135.88513	0.0036532427015551067	2135.88513	0.0069912487043661126	2129.21	0.040586922033308104	2129.21	0.04375758890136033
