# Wavenumber / cm-1 	 Absorbance / OD
1.943326860000000352e+03	2.787098423867179209e-04
1.943356990000000451e+03	3.134251117107716977e-04
1.943387130000000298e+03	3.431402865341076636e-04
1.943417260000000397e+03	3.478555558581730711e-04
1.943447400000000243e+03	3.275707306815006659e-04
1.943477530000000343e+03	2.872860000055627028e-04
1.943507660000000442e+03	2.320012693296236161e-04
1.943537800000000288e+03	1.817164441529628416e-04
1.943567930000000388e+03	1.564317134770260020e-04
1.943598060000000260e+03	1.561469828010864092e-04
1.943628200000000334e+03	1.858621576244084972e-04
1.943658330000000433e+03	2.355774269484772754e-04
1.943688470000000279e+03	2.802926017718143648e-04
1.943718600000000379e+03	3.100078710958770190e-04
1.943748730000000251e+03	3.247231404199246718e-04
1.943778870000000325e+03	3.144383152432622675e-04
1.943809000000000424e+03	2.991535845673354288e-04
1.943839130000000296e+03	2.788688538913897119e-04
1.943869270000000370e+03	2.685840287147273076e-04
1.943899400000000469e+03	2.682992980387877147e-04
1.943929540000000316e+03	2.730144728621264338e-04
1.943959670000000415e+03	2.877297421861879645e-04
1.943989800000000287e+03	2.974450115102444947e-04
1.944019940000000361e+03	3.021601863335832139e-04
1.944050070000000460e+03	3.068754556576347436e-04
1.944080210000000307e+03	3.115906304809734628e-04
1.944110340000000406e+03	3.213058998050299930e-04
1.944140470000000278e+03	3.360211691290915237e-04
1.944170610000000352e+03	3.507363439524263660e-04
1.944200740000000451e+03	3.604516132764828962e-04
1.944230870000000323e+03	3.601668826005433033e-04
1.944261010000000397e+03	3.498820574238808989e-04
1.944291140000000269e+03	3.245973267479440594e-04
1.944321280000000343e+03	2.893125015712705306e-04
1.944351410000000442e+03	2.540277708953375679e-04
1.944381540000000314e+03	2.237430402193957280e-04
1.944411680000000388e+03	2.034582150427372005e-04
1.944441810000000260e+03	2.031734843668114854e-04
1.944471950000000334e+03	2.128886591901413272e-04
1.944502080000000433e+03	2.376039285141851032e-04
1.944532210000000305e+03	2.673191978382616352e-04
1.944562350000000379e+03	2.970343726615976010e-04
1.944592480000000251e+03	3.267496419856602552e-04
1.944622610000000350e+03	3.414649113097217858e-04
1.944652750000000424e+03	3.411800861330555046e-04
1.944682880000000296e+03	3.258953554571147881e-04
1.944713020000000370e+03	2.956105302804462598e-04
1.944743150000000469e+03	2.603257996044994194e-04
1.944773280000000341e+03	2.200410689285614563e-04
1.944803420000000415e+03	1.897562437518929279e-04
1.944833550000000287e+03	1.744715130759522115e-04
1.944863680000000386e+03	1.791867824000176190e-04
1.944893820000000460e+03	1.989019572233574618e-04
1.944923950000000332e+03	2.336172265474112386e-04
1.944954090000000406e+03	2.633324013707472044e-04
1.944984220000000278e+03	2.880476706948048582e-04
1.945014350000000377e+03	2.977629400188613884e-04
1.945044490000000451e+03	2.924781148422039845e-04
1.945074620000000323e+03	2.721933841662582676e-04
1.945104760000000397e+03	2.469085589896086175e-04
1.945134890000000269e+03	2.216238283136579001e-04
1.945165020000000368e+03	2.013390976377260611e-04
1.945195160000000442e+03	1.860542724610586562e-04
1.945225290000000314e+03	1.757695417851090625e-04
1.945255420000000413e+03	1.704848111091783469e-04
1.945285560000000260e+03	1.651999859325209430e-04
1.945315690000000359e+03	1.699152552565724728e-04
1.945345830000000433e+03	1.796304300799161924e-04
1.945375960000000305e+03	1.943456994039777230e-04
1.945406090000000404e+03	2.190609687280353768e-04
